horizon,residual,count
4,0,1500
8,-1,18
8,0,1482
16,-1,554
16,0,788
16,1,158
32,-1,292
32,0,756
32,1,452
64,-1,309
64,0,733
64,1,458
128,-1,435
128,0,692
128,1,373
