horizon,baseline_accuracy,baseline_drift_rate,baseline_coherence_score,baseline_residual_norm,partial_accuracy,partial_drift_rate,partial_coherence_score,corrected_accuracy,corrected_drift_rate,corrected_coherence_score,relative_drift_reduction
4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
8,0.988,0.012,0.988,4.242640687119285,0.994,0.006,0.994,1.0,0.0,1.0,1.0
16,0.5253333333333333,0.4746666666666667,0.5253333333333333,26.68332812825267,0.7626666666666667,0.23733333333333334,0.7626666666666666,1.0,0.0,1.0,1.0
32,0.504,0.496,0.504,27.27636339397171,0.752,0.248,0.752,1.0,0.0,1.0,1.0
64,0.4886666666666667,0.5113333333333333,0.4886666666666667,27.694764848252458,0.7446666666666667,0.25533333333333336,0.7446666666666666,1.0,0.0,1.0,1.0
128,0.4613333333333333,0.5386666666666666,0.4613333333333334,28.42534080710379,0.7306666666666667,0.2693333333333333,0.7306666666666667,1.0,0.0,1.0,1.0
