x,split,baseline_residual,corrected_residual
0.015018773466833541,train,0.16187814091659303,-0.11107220848863553
0.030037546933667083,train,0.06345044379333742,-0.22698139067212142
0.04505632040050062,train,0.11660756622939883,-0.19063753896495172
0.0750938673341677,train,-0.27872959181722323,-0.6176003789516822
0.09011264080100125,train,0.2573629303635683,-0.09632555272567345
0.10513141426783479,train,0.06376611297095858,-0.3040823021304624
0.13516896120150187,train,0.4184481767098285,0.02422899376185228
0.1501877346683354,train,0.2607385142255829,-0.1457063808747412
0.16520650813516896,train,0.322960205995076,-0.09508226220655502
0.19524405506883605,train,0.4436670912096752,0.004273298192495556
0.21026282853566958,train,-0.0053800890067388085,-0.45455006986029534
0.22528160200250313,train,0.23035719176638514,-0.22800558339707466
0.2553191489361702,train,0.3413164501305752,-0.13373465430639375
0.27033792240300375,train,0.3225272230230092,-0.16004739459937123
0.2853566958698373,train,0.07292568332241345,-0.4166448925279955
0.31539424280350437,train,0.11249781526569769,-0.3895433911064019
0.3304130162703379,train,0.255497296785302,-0.2520502230337991
0.3454317897371715,train,0.4328760476696827,-0.07971340936292615
0.37546933667083854,train,0.6810545012470575,0.15970792423257807
0.3904881101376721,train,0.293410258039438,-0.23168515204078055
0.4055068836045056,train,0.5069398839331878,-0.021507197115718135
0.4355444305381727,train,0.09157298638918987,-0.4424543798186791
0.45056320400500627,train,0.30511898407420057,-0.23117127275236848
0.46558197747183977,train,0.33696528662238245,-0.2012591825227088
0.4956195244055069,train,0.5918882435855186,0.0507132834461923
0.5106382978723404,train,0.3576260304028134,-0.1845990035316225
0.5256570713391739,train,0.621484274713819,0.0784703086614087
0.5556946182728411,train,0.4536923493099696,-0.09018196133093115
0.5707133917396746,train,0.30967038379572376,-0.23430779069898788
0.5857321652065082,train,0.31137777515810616,-0.2325079824872529
0.6157697121401752,train,0.4894011229119801,-0.05377321688524628
0.6307884856070087,train,0.23000854154074601,-0.3125772304623764
0.6458072590738423,train,0.23087278880624007,-0.3109889665741137
0.6758448060075094,train,0.3529639090549235,-0.187100904235856
0.690863579474343,train,0.12383147358778968,-0.4151882707654104
0.7058823529411764,train,0.32792754209023434,-0.2099673655692298
0.7359198998748435,train,0.13291532605225198,-0.40254217796844793
0.7509386733416771,train,0.3282206103076253,-0.20594908972053405
0.7659574468085106,train,0.6895885597984066,0.15673693911488007
0.7959949937421777,train,0.20735180426457678,-0.32281748706885516
0.8110137672090112,train,0.41924233619840834,-0.10958383504260238
0.8260325406758448,train,0.3692489033670938,-0.15824609450861482
0.8560700876095119,train,0.08398717595189575,-0.4409178900799331
0.8710888610763454,train,0.38066036300187367,-0.1430028363467648
0.886107634543179,train,0.39023542331217964,-0.13223159679050323
0.916145181476846,train,0.24459220686506145,-0.275646690627549
0.9311639549436795,train,0.41106441980807107,-0.10815450344424482
0.9461827284105131,train,0.592481507493174,0.07421297958109152
0.9762202753441802,train,0.4092191319206102,-0.10737365458554882
