hamming_weight,count,baseline_drift_rate,corrected_drift_rate
1,2,1.0,0.0
2,8,0.0,0.0
3,38,0.7631578947368421,0.0
4,133,0.3082706766917293,0.0
5,324,0.6851851851851852,0.0
6,615,0.3642276422764228,0.0
7,902,0.61529933481153,0.0
8,1001,0.42957042957042957,0.0
9,864,0.5046296296296297,0.0
10,593,0.5092748735244519,0.0
11,336,0.5386904761904762,0.0
12,136,0.5220588235294118,0.0
13,38,0.4473684210526316,0.0
14,9,0.5555555555555556,0.0
15,1,0.0,0.0
