phase_lock_strength,accuracy,drift_rate,coherence_score,residual_norm,drift_reduction,relative_drift_reduction
0.0,0.5054,0.4946,0.5054000000000001,49.72926703662542,0.0,0.0
0.05,0.5302,0.4698,0.5302,48.46648326421054,0.02479999999999999,0.05014152850788514
0.1,0.5548,0.4452,0.5548,47.18050444834179,0.0494,0.09987868985038414
0.15000000000000002,0.5796,0.4204,0.5796,45.8475735453906,0.07419999999999999,0.15002021835826929
0.2,0.6044,0.3956,0.6044,44.474711915874174,0.09899999999999998,0.20016174686615443
0.25,0.629,0.371,0.629,43.069710934716056,0.12359999999999999,0.24989890820865343
0.30000000000000004,0.6538,0.3462,0.6537999999999999,41.60528812542944,0.14839999999999998,0.30004043671653857
0.35000000000000003,0.6786,0.3214,0.6786,40.08740450565489,0.17319999999999997,0.35018196522442374
0.4,0.7032,0.2968,0.7032,38.52272056851645,0.19779999999999998,0.39991912656692274
0.45,0.728,0.272,0.728,36.87817782917155,0.22259999999999996,0.45006065507480786
0.5,0.7526,0.2474,0.7525999999999999,35.17101079013795,0.24719999999999998,0.49979781641730686
0.55,0.7774,0.2226,0.7774,33.36165463522455,0.272,0.5499393449251921
0.6000000000000001,0.8022,0.1978,0.8022,31.448370387032774,0.29679999999999995,0.6000808734330771
0.65,0.8268,0.1732,0.8268,29.427877939124322,0.3214,0.6498180347755763
0.7000000000000001,0.8516,0.1484,0.8516,27.23967694375247,0.34619999999999995,0.6999595632834613
0.75,0.8764,0.1236,0.8764,24.859605789312106,0.371,0.7501010917913465
0.8,0.901,0.099,0.901,22.24859546128699,0.39559999999999995,0.7998382531338455
0.8500000000000001,0.9258,0.0742,0.9258,19.261360284258224,0.4204,0.8499797816417307
0.9,0.9506,0.0494,0.9506,15.716233645501712,0.4452,0.9001213101496158
0.9500000000000001,0.9752,0.0248,0.9752,11.135528725660043,0.4698,0.9498584714921149
1.0,1.0,0.0,1.0,0.0,0.4946,1.0
